id,title,author,published,genre
1,To Kill a Mockingbird,Harper Lee,1960,Fiction
2,1984,George Orwell,1949,Dystopian
3,Moby Dick,Herman Melville,1851,Adventure
4,War and Peace,Leo Tolstoy,1869,Historical
5,The Catcher in the Rye,J.D. Salinger,1951,Coming-of-Age
6,The Alchemist,Paulo Coelho,1988,Adventure
7,Pride and Prejudice,Jane Austen,1813,Romance
8,The Great Gatsby,F. Scott Fitzgerald,1925,Fiction
9,Brave New World,Aldous Huxley,1932,Dystopian
10,The Odyssey,Homer,-800,Epic
11,The Picture of Dorian Gray,Oscar Wilde,1890,Philosophical
12,Crime and Punishment,Fyodor Dostoevsky,1866,Philosophical
13,The Brothers Karamazov,Fyodor Dostoevsky,1880,Philosophical
14,The Hobbit,J.R.R. Tolkien,1937,Fantasy
15,Fahrenheit 451,Ray Bradbury,1953,Dystopian
16,Catch-22,Joseph Heller,1961,Satire
17,The Grapes of Wrath,John Steinbeck,1939,Fiction
18,The Road,Cormac McCarthy,2006,Post-Apocalyptic
19,Jane Eyre,Charlotte Brontë,1847,Romance
20,Wuthering Heights,Emily Brontë,1847,Gothic
21,Little Women,Louisa May Alcott,1868,Coming-of-Age
22,The Chronicles of Narnia,C.S. Lewis,1950,Fantasy
23,The Secret Garden,Frances Hodgson Burnett,1911,Children's
24,The Call of the Wild,Jack London,1903,Adventure
25,The Scarlet Letter,Nathaniel Hawthorne,1850,Historical Fiction
26,Anna Karenina,Leo Tolstoy,1877,Romance
27,The Handmaid's Tale,Margaret Atwood,1985,Dystopian
28,The Kite Runner,Khaled Hosseini,2003,Fiction
29,The Fault in Our Stars,John Green,2012,Young Adult
30,A Tale of Two Cities,Charles Dickens,1859,Historical Fiction
31,The Count of Monte Cristo,Alexandre Dumas,1844,Adventure
32,The Da Vinci Code,Dan Brown,2003,Thriller
33,Siddhartha,Hermann Hesse,1922,Philosophical
34,The Sun Also Rises,Ernest Hemingway,1926,Fiction
35,Slaughterhouse-Five,Kurt Vonnegut,1969,Sci-Fi
36,The Old Man and the Sea,Ernest Hemingway,1952,Fiction
37,A Clockwork Orange,Anthony Burgess,1962,Dystopian
38,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,Sci-Fi
39,The Bell Jar,Sylvia Plath,1963,Fiction
40,To the Lighthouse,Virginia Woolf,1927,Fiction
41,Life of Pi,Yann Martel,2001,Fiction
42,The Amazing Adventures of Kavalier & Clay,Michael Chabon,2000,Fiction
